city_grp,device,Transaction_Type,payment_mode,package,labelled,retained
Other,Android,JazzCash,Manual,Weekly,269,22
Other,Android,JazzCash Checkout,Auto,Half Yearly,47,29
Other,Android,JazzCash Checkout,Auto,Monthly,1502,1019
Other,Android,JazzCash Checkout,Auto,Quarterly,147,92
Other,Android,JazzCash Checkout,Auto,Weekly,19304,13972
Other,Android,Ufone,Auto,Monthly,132,102
Other,Android,Ufone,Auto,Weekly,1870,1459
Other,Android,Zindigi,Manual,Monthly,24,0
Other,Android,Zindigi,Manual,Quarterly,1,0
Other,Android,Zindigi,Manual,Weekly,30,2
Other,Android,Zong,Auto,Monthly,20,7
Other,Android,Zong,Auto,Quarterly,1,0
Other,Android,Zong,Auto,Weekly,507,233
Other,Unknown,Bill Payment,Manual,Monthly,21,3
Other,Unknown,Bill Payment,Manual,Quarterly,1,0
Other,Unknown,Bill Payment,Manual,Weekly,34,1
Other,Unknown,Coupon,Manual,Weekly,1,0
Other,Unknown,Credit/Debit Card,Manual,Half Yearly,1,0
Other,Unknown,Credit/Debit Card,Manual,Monthly,14,1
Other,Unknown,Credit/Debit Card,Manual,Quarterly,2,0
Other,Unknown,Credit/Debit Card,Manual,Weekly,45,4
Other,Unknown,Easypaisa,Auto,Monthly,322,107
Other,Unknown,Easypaisa,Auto,Weekly,958,593
Other,Unknown,JazzCash,Manual,Monthly,3,1
Other,Unknown,JazzCash,Manual,Weekly,2,0
Other,Unknown,JazzCash Checkout,Auto,Monthly,20,13
Other,Unknown,JazzCash Checkout,Auto,Quarterly,2,1
Other,Unknown,JazzCash Checkout,Auto,Weekly,363,251
Other,Unknown,JazzWorld,Manual,Monthly,160,8
Other,Unknown,JazzWorld,Manual,Weekly,112,3
Other,Unknown,Ufone,Auto,Monthly,192,162
Other,Unknown,Ufone,Auto,Weekly,1187,962
Other,Unknown,Zindigi,Manual,Monthly,1,0
Other,Unknown,Zindigi,Manual,Weekly,7,0
Other,Unknown,Zong,Auto,Monthly,46,32
